P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Ranger Suarez (43854273),Ranger Suarez,43854273,P,8300,ARI@BOS 08/17/2026 07:10PM ET,BOS,15.35
,,,,,,,,,,,SP,Sonny Gray (43854647),Sonny Gray,43854647,P,8300,ARI@BOS 08/17/2026 07:10PM ET,BOS,18.27
,,,,,,,,,,,RP,Spencer Strider (43854649),Spencer Strider,43854649,P,8300,ATL@MIN 08/17/2026 07:40PM ET,ATL,14.67
,,,,,,,,,,,SP,Tyler Mahle (43854650),Tyler Mahle,43854650,P,8300,ATL@MIN 08/17/2026 07:40PM ET,ATL,13.51
,,,,,,,,,,,RP,Braxton Ashcraft (43854651),Braxton Ashcraft,43854651,P,8300,DET@PIT 08/17/2026 07:05PM ET,PIT,19.09
,,,,,,,,,,,SP,Zac Thornton (43854648),Zac Thornton,43854648,P,8300,SD@NYM 08/17/2026 07:10PM ET,NYM,14.18
,,,,,,,,,,,SP,Pablo Lopez (43854652),Pablo Lopez,43854652,P,8000,ATL@MIN 08/17/2026 07:40PM ET,MIN,0
,,,,,,,,,,,SP,Mick Abel (43854653),Mick Abel,43854653,P,8000,ATL@MIN 08/17/2026 07:40PM ET,MIN,14.19
,,,,,,,,,,,SP,Kris Bubic (43854654),Kris Bubic,43854654,P,8000,LAD@COL 08/17/2026 08:40PM ET,LAD,15.94
,,,,,,,,,,,SP,Justin Wrobleski (43854655),Justin Wrobleski,43854655,P,8000,LAD@COL 08/17/2026 08:40PM ET,LAD,16.28
,,,,,,,,,,,SP,Emmet Sheehan (43854656),Emmet Sheehan,43854656,P,8000,LAD@COL 08/17/2026 08:40PM ET,LAD,12.80
,,,,,,,,,,,SP,Roki Sasaki (43854658),Roki Sasaki,43854658,P,8000,LAD@COL 08/17/2026 08:40PM ET,LAD,13.66
,,,,,,,,,,,SP,Joe Musgrove (43854657),Joe Musgrove,43854657,P,8000,SD@NYM 08/17/2026 07:10PM ET,SD,0
,,,,,,,,,,,SP,Jake Bennett (43854663),Jake Bennett,43854663,P,7800,ARI@BOS 08/17/2026 07:10PM ET,BOS,15.44
,,,,,,,,,,,SP,Tony Gonsolin (43854665),Tony Gonsolin,43854665,P,7800,ATH@KC 08/17/2026 07:40PM ET,KC,0
,,,,,,,,,,,SP,Luis Castillo (43854274),Luis Castillo,43854274,P,7800,CWS@CHC 08/17/2026 08:05PM ET,CWS,11.48
,,,,,,,,,,,RP,David Sandlin (43854664),David Sandlin,43854664,P,7800,CWS@CHC 08/17/2026 08:05PM ET,CWS,10.5
,,,,,,,,,,,SP,Sean Manaea (43854659),Sean Manaea,43854659,P,7800,SD@NYM 08/17/2026 07:10PM ET,NYM,10.99
,,,,,,,,,,,SP,Robbie Ray (43854660),Robbie Ray,43854660,P,7800,SD@NYM 08/17/2026 07:10PM ET,SD,15.03
,,,,,,,,,,,RP,Michael King (43854661),Michael King,43854661,P,7800,SD@NYM 08/17/2026 07:10PM ET,SD,15.42
,,,,,,,,,,,SP,Christian Scott (43854662),Christian Scott,43854662,P,7800,SD@NYM 08/17/2026 07:10PM ET,NYM,15.57
,,,,,,,,,,,SP,Michael Soroka (43854666),Michael Soroka,43854666,P,7700,ARI@BOS 08/17/2026 07:10PM ET,ARI,17.11
,,,,,,,,,,,SP,Brandon Pfaadt (43854667),Brandon Pfaadt,43854667,P,7700,ARI@BOS 08/17/2026 07:10PM ET,ARI,10.23
,,,,,,,,,,,SP,Eduardo Rodriguez (43854668),Eduardo Rodriguez,43854668,P,7700,ARI@BOS 08/17/2026 07:10PM ET,ARI,15.90
,,,,,,,,,,,SP,Framber Valdez (43854275),Framber Valdez,43854275,P,7500,DET@PIT 08/17/2026 07:05PM ET,DET,12.29
,,,,,,,,,,,SP,Jackson Jobe (43854670),Jackson Jobe,43854670,P,7500,DET@PIT 08/17/2026 07:05PM ET,DET,9.55
,,,,,,,,,,,SP,David Peterson (43854669),David Peterson,43854669,P,7500,CWS@CHC 08/17/2026 08:05PM ET,CHC,9.56
,,,,,,,,,,,SP,Justin Steele (43854671),Justin Steele,43854671,P,7500,CWS@CHC 08/17/2026 08:05PM ET,CHC,0
,,,,,,,,,,,RP,Colin Rea (43854672),Colin Rea,43854672,P,7500,CWS@CHC 08/17/2026 08:05PM ET,CHC,10.45
,,,,,,,,,,,SP,Javier Assad (43854673),Javier Assad,43854673,P,7500,CWS@CHC 08/17/2026 08:05PM ET,CHC,9.09
,,,,,,,,,,,SP,Edward Cabrera (43854674),Edward Cabrera,43854674,P,7500,CWS@CHC 08/17/2026 08:05PM ET,CHC,10.83
,,,,,,,,,,,SP,Cade Horton (43854675),Cade Horton,43854675,P,7500,CWS@CHC 08/17/2026 08:05PM ET,CHC,10.45
,,,,,,,,,,,SP,Reese Olson (43854676),Reese Olson,43854676,P,7400,DET@PIT 08/17/2026 07:05PM ET,DET,0
,,,,,,,,,,,SP,Martin Perez (43854276),Martin Perez,43854276,P,7300,ATL@MIN 08/17/2026 07:40PM ET,ATL,12.47
,,,,,,,,,,,RP,Owen Murphy (43854677),Owen Murphy,43854677,P,7300,ATL@MIN 08/17/2026 07:40PM ET,ATL,5.2
,,,,,,,,,,,RP,Reynaldo Lopez (43854678),Reynaldo Lopez,43854678,P,7300,ATL@MIN 08/17/2026 07:40PM ET,ATL,8.04
,,,,,,,,,,,SP,Bryce Elder (43854681),Bryce Elder,43854681,P,7300,ATL@MIN 08/17/2026 07:40PM ET,ATL,14.36
,,,,,,,,,,,SP,JR Ritchie (43854682),JR Ritchie,43854682,P,7300,ATL@MIN 08/17/2026 07:40PM ET,ATL,9.08
,,,,,,,,,,,RP,AJ Smith-Shawver (43854683),AJ Smith-Shawver,43854683,P,7300,ATL@MIN 08/17/2026 07:40PM ET,ATL,10.15
,,,,,,,,,,,SP,Hurston Waldrep (43854684),Hurston Waldrep,43854684,P,7300,ATL@MIN 08/17/2026 07:40PM ET,ATL,2.33
,,,,,,,,,,,RP,Grant Holmes (43854685),Grant Holmes,43854685,P,7300,ATL@MIN 08/17/2026 07:40PM ET,ATL,12.06
,,,,,,,,,,,SP,Jack Flaherty (43854679),Jack Flaherty,43854679,P,7300,DET@PIT 08/17/2026 07:05PM ET,DET,12.89
,,,,,,,,,,,SP,Justin Verlander (43854680),Justin Verlander,43854680,P,7300,DET@PIT 08/17/2026 07:05PM ET,DET,-4.55
,,,,,,,,,,,SP,JP Sears (43854686),JP Sears,43854686,P,7200,SD@NYM 08/17/2026 07:10PM ET,SD,9.24
,,,,,,,,,,,SP,Keider Montero (43854688),Keider Montero,43854688,P,7100,DET@PIT 08/17/2026 07:05PM ET,DET,12.55
,,,,,,,,,,,SP,Lucas Giolito (43854687),Lucas Giolito,43854687,P,7100,SD@NYM 08/17/2026 07:10PM ET,SD,6.16
,,,,,,,,,,,SP,Bailey Ober (43854277),Bailey Ober,43854277,P,7000,ATL@MIN 08/17/2026 07:40PM ET,MIN,11.85
,,,,,,,,,,,SP,Zebby Matthews (43854689),Zebby Matthews,43854689,P,7000,ATL@MIN 08/17/2026 07:40PM ET,MIN,12.45
,,,,,,,,,,,SP,Connor Prielipp (43854690),Connor Prielipp,43854690,P,7000,ATL@MIN 08/17/2026 07:40PM ET,MIN,12.80
,,,,,,,,,,,RP,Kendry Rojas (43854691),Kendry Rojas,43854691,P,7000,ATL@MIN 08/17/2026 07:40PM ET,MIN,7.43
,,,,,,,,,,,RP,Jack Anderson (43854692),Jack Anderson,43854692,P,7000,ATL@MIN 08/17/2026 07:40PM ET,MIN,5.99
,,,,,,,,,,,SP,Dean Kremer (43854701),Dean Kremer,43854701,P,7000,ATL@MIN 08/17/2026 07:40PM ET,MIN,13.22
,,,,,,,,,,,1B/OF,Shohei Ohtani (43854283),Shohei Ohtani,43854283,1B/OF,7000,LAD@COL 08/17/2026 08:40PM ET,LAD,9.45
,,,,,,,,,,,RP,Eric Lauer (43854693),Eric Lauer,43854693,P,7000,LAD@COL 08/17/2026 08:40PM ET,LAD,10.40
,,,,,,,,,,,SP,Gavin Stone (43854694),Gavin Stone,43854694,P,7000,LAD@COL 08/17/2026 08:40PM ET,LAD,0
,,,,,,,,,,,SP,Bobby Miller (43854695),Bobby Miller,43854695,P,7000,LAD@COL 08/17/2026 08:40PM ET,LAD,0
,,,,,,,,,,,SP,Landon Knack (43854696),Landon Knack,43854696,P,7000,LAD@COL 08/17/2026 08:40PM ET,LAD,4.22
,,,,,,,,,,,SP,Gage Jump (43854697),Gage Jump,43854697,P,7000,ATH@KC 08/17/2026 07:40PM ET,ATH,14.53
,,,,,,,,,,,RP,J.T. Ginn (43854698),J.T. Ginn,43854698,P,7000,ATH@KC 08/17/2026 07:40PM ET,ATH,13.94
,,,,,,,,,,,SP,Luis Morales (43854699),Luis Morales,43854699,P,7000,ATH@KC 08/17/2026 07:40PM ET,ATH,-2.24
,,,,,,,,,,,SP,Luis Severino (43854700),Luis Severino,43854700,P,7000,ATH@KC 08/17/2026 07:40PM ET,ATH,13.72
,,,,,,,,,,,SP,Tanner Houck (43854708),Tanner Houck,43854708,P,6800,ARI@BOS 08/17/2026 07:10PM ET,BOS,0
,,,,,,,,,,,SP,Kutter Crawford (43854709),Kutter Crawford,43854709,P,6800,ARI@BOS 08/17/2026 07:10PM ET,BOS,0
,,,,,,,,,,,SP,Patrick Sandoval (43854714),Patrick Sandoval,43854714,P,6800,ARI@BOS 08/17/2026 07:10PM ET,BOS,10.87
,,,,,,,,,,,SP,Brayan Bello (43854715),Brayan Bello,43854715,P,6800,ARI@BOS 08/17/2026 07:10PM ET,BOS,9.36
,,,,,,,,,,,RP,Seth Lugo (43854705),Seth Lugo,43854705,P,6800,ATH@KC 08/17/2026 07:40PM ET,KC,11.52
,,,,,,,,,,,RP,Stephen Kolek (43854710),Stephen Kolek,43854710,P,6800,ATH@KC 08/17/2026 07:40PM ET,KC,11.51
,,,,,,,,,,,SP,Noah Cameron (43854713),Noah Cameron,43854713,P,6800,ATH@KC 08/17/2026 07:40PM ET,KC,15.21
,,,,,,,,,,,RP,Randy Dobnak (43854716),Randy Dobnak,43854716,P,6800,ATH@KC 08/17/2026 07:40PM ET,KC,12.92
,,,,,,,,,,,SP,Erick Fedde (43854702),Erick Fedde,43854702,P,6800,CWS@CHC 08/17/2026 08:05PM ET,CWS,8.46
,,,,,,,,,,,RP,Mike Vasil (43854703),Mike Vasil,43854703,P,6800,CWS@CHC 08/17/2026 08:05PM ET,CWS,0
,,,,,,,,,,,SP,Davis Martin (43854704),Davis Martin,43854704,P,6800,CWS@CHC 08/17/2026 08:05PM ET,CWS,13.09
,,,,,,,,,,,SP,Noah Schultz (43854706),Noah Schultz,43854706,P,6800,CWS@CHC 08/17/2026 08:05PM ET,CWS,8.56
,,,,,,,,,,,RP,Anthony Kay (43854707),Anthony Kay,43854707,P,6800,CWS@CHC 08/17/2026 08:05PM ET,CWS,11.38
,,,,,,,,,,,RP,Shane Smith (43854711),Shane Smith,43854711,P,6800,CWS@CHC 08/17/2026 08:05PM ET,CWS,2.52
,,,,,,,,,,,SP,Jonathan Cannon (43854712),Jonathan Cannon,43854712,P,6800,CWS@CHC 08/17/2026 08:05PM ET,CWS,-3.8
,,,,,,,,,,,SP,Mitch Bratt (43854278),Mitch Bratt,43854278,P,6700,ARI@BOS 08/17/2026 07:10PM ET,ARI,10.42
,,,,,,,,,,,SP,Merrill Kelly (43854717),Merrill Kelly,43854717,P,6700,ARI@BOS 08/17/2026 07:10PM ET,ARI,10.22
,,,,,,,,,,,SP,Ryne Nelson (43854718),Ryne Nelson,43854718,P,6700,ARI@BOS 08/17/2026 07:10PM ET,ARI,11.11
,,,,,,,,,,,RP,Kohl Drake (43854719),Kohl Drake,43854719,P,6700,ARI@BOS 08/17/2026 07:10PM ET,ARI,6.52
,,,,,,,,,,,RP,Drew Anderson (43854726),Drew Anderson,43854726,P,6500,DET@PIT 08/17/2026 07:05PM ET,DET,5.39
,,,,,,,,,,,OF,Pete Crow-Armstrong (43854285),Pete Crow-Armstrong,43854285,OF,6500,CWS@CHC 08/17/2026 08:05PM ET,CHC,10.36
,,,,,,,,,,,SP,Jordan Wicks (43854722),Jordan Wicks,43854722,P,6500,CWS@CHC 08/17/2026 08:05PM ET,CHC,0.66
,,,,,,,,,,,RP,Aaron Civale (43854723),Aaron Civale,43854723,P,6500,CWS@CHC 08/17/2026 08:05PM ET,CHC,7.82
,,,,,,,,,,,RP,Ethan Roberts (43854724),Ethan Roberts,43854724,P,6500,CWS@CHC 08/17/2026 08:05PM ET,CHC,1.93
,,,,,,,,,,,SP,Braxton Garrett (43854725),Braxton Garrett,43854725,P,6500,CWS@CHC 08/17/2026 08:05PM ET,CHC,-1.62
,,,,,,,,,,,SP,Walker Buehler (43854279),Walker Buehler,43854279,P,6500,SD@NYM 08/17/2026 07:10PM ET,SD,10.85
,,,,,,,,,,,SP,Griffin Canning (43854720),Griffin Canning,43854720,P,6500,SD@NYM 08/17/2026 07:10PM ET,SD,6.93
,,,,,,,,,,,SP,Kyle Hart (43854721),Kyle Hart,43854721,P,6500,SD@NYM 08/17/2026 07:10PM ET,SD,3.74
,,,,,,,,,,,RP,Jhony Brito (43854727),Jhony Brito,43854727,P,6400,SD@NYM 08/17/2026 07:10PM ET,SD,4.33
,,,,,,,,,,,SP,Carmen Mlodzinski (43854280),Carmen Mlodzinski,43854280,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,8.61
,,,,,,,,,,,SP,Bubba Chandler (43854728),Bubba Chandler,43854728,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,12.27
,,,,,,,,,,,RP,Mike Clevinger (43854729),Mike Clevinger,43854729,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,0
,,,,,,,,,,,RP,Wilber Dotel (43854730),Wilber Dotel,43854730,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,5.1
,,,,,,,,,,,RP,Lake Bachar (43854731),Lake Bachar,43854731,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,4.71
,,,,,,,,,,,RP,Antwone Kelly (43854732),Antwone Kelly,43854732,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,2.43
,,,,,,,,,,,RP,Thomas Harrington (43854733),Thomas Harrington,43854733,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,0
,,,,,,,,,,,SP,Mitch Keller (43854734),Mitch Keller,43854734,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,10.28
,,,,,,,,,,,RP,Hunter Barco (43854735),Hunter Barco,43854735,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,2.31
,,,,,,,,,,,SP,Jared Jones (43854736),Jared Jones,43854736,P,6300,DET@PIT 08/17/2026 07:05PM ET,PIT,12.9
,,,,,,,,,,,1B,Freddie Freeman (43854286),Freddie Freeman,43854286,1B,6200,LAD@COL 08/17/2026 08:40PM ET,LAD,7.79
,,,,,,,,,,,SP,David Festa (43854737),David Festa,43854737,P,6000,ATL@MIN 08/17/2026 07:40PM ET,MIN,0
,,,,,,,,,,,RP,Yoendrys Gomez (43854738),Yoendrys Gomez,43854738,P,6000,ATL@MIN 08/17/2026 07:40PM ET,MIN,2.86
,,,,,,,,,,,RP,Marco Raya (43854739),Marco Raya,43854739,P,6000,ATL@MIN 08/17/2026 07:40PM ET,MIN,4.23
,,,,,,,,,,,RP,Mike Paredes (43854740),Mike Paredes,43854740,P,6000,ATL@MIN 08/17/2026 07:40PM ET,MIN,5.34
,,,,,,,,,,,SP,Mason Barnett (43854281),Mason Barnett,43854281,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,4.43
,,,,,,,,,,,SS,Bobby Witt Jr. (43854287),Bobby Witt Jr.,43854287,SS,6000,ATH@KC 08/17/2026 07:40PM ET,KC,9.17
,,,,,,,,,,,SP,Kade Morris (43854741),Kade Morris,43854741,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,-2.17
,,,,,,,,,,,RP,Seth Johnson (43854742),Seth Johnson,43854742,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,2.25
,,,,,,,,,,,SP,Luis Medina (43854743),Luis Medina,43854743,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,4.28
,,,,,,,,,,,RP,Yunior Tur (43854744),Yunior Tur,43854744,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,-7.63
,,,,,,,,,,,RP,Jose Suarez (43854745),Jose Suarez,43854745,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,3.18
,,,,,,,,,,,SP,Gunnar Hoglund (43854746),Gunnar Hoglund,43854746,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,0
,,,,,,,,,,,RP,Jeffrey Springs (43854747),Jeffrey Springs,43854747,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,8.44
,,,,,,,,,,,RP,Jack Perkins (43854748),Jack Perkins,43854748,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,5.81
,,,,,,,,,,,RP,Joey Estes (43854749),Joey Estes,43854749,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,6.15
,,,,,,,,,,,RP,Jacob Lopez (43854750),Jacob Lopez,43854750,P,6000,ATH@KC 08/17/2026 07:40PM ET,ATH,9.76
,,,,,,,,,,,C,Hunter Goodman (43854288),Hunter Goodman,43854288,C,5900,LAD@COL 08/17/2026 08:40PM ET,COL,8.78
,,,,,,,,,,,SP,Randy Vasquez (43854751),Randy Vasquez,43854751,P,5900,SD@NYM 08/17/2026 07:10PM ET,SD,9.32
,,,,,,,,,,,RP,Eduardo Rivera (43854763),Eduardo Rivera,43854763,P,5800,ARI@BOS 08/17/2026 07:10PM ET,BOS,5.02
,,,,,,,,,,,SP,Johan Oviedo (43854764),Johan Oviedo,43854764,P,5800,ARI@BOS 08/17/2026 07:10PM ET,BOS,1.45
,,,,,,,,,,,OF,Ronald Acuna Jr. (43854289),Ronald Acuna Jr.,43854289,OF,5800,ATL@MIN 08/17/2026 07:40PM ET,ATL,8.86
,,,,,,,,,,,RP,Joey Wentz (43854772),Joey Wentz,43854772,P,5800,ATL@MIN 08/17/2026 07:40PM ET,ATL,0
,,,,,,,,,,,RP,Victor Mederos (43854773),Victor Mederos,43854773,P,5800,ATL@MIN 08/17/2026 07:40PM ET,ATL,4.28
,,,,,,,,,,,RP,Didier Fuentes (43854774),Didier Fuentes,43854774,P,5800,ATL@MIN 08/17/2026 07:40PM ET,ATL,4.85
,,,,,,,,,,,SP,Alec Marsh (43854752),Alec Marsh,43854752,P,5800,ATH@KC 08/17/2026 07:40PM ET,KC,0
,,,,,,,,,,,SP,Ben Kudrna (43854753),Ben Kudrna,43854753,P,5800,ATH@KC 08/17/2026 07:40PM ET,KC,0
,,,,,,,,,,,RP,Connor Thomas (43854754),Connor Thomas,43854754,P,5800,ATH@KC 08/17/2026 07:40PM ET,KC,-10.18
,,,,,,,,,,,RP,Ryan Bergert (43854755),Ryan Bergert,43854755,P,5800,ATH@KC 08/17/2026 07:40PM ET,KC,0
,,,,,,,,,,,RP,Luinder Avila (43854758),Luinder Avila,43854758,P,5800,ATH@KC 08/17/2026 07:40PM ET,KC,6.98
,,,,,,,,,,,RP,Mitch Spence (43854759),Mitch Spence,43854759,P,5800,ATH@KC 08/17/2026 07:40PM ET,KC,-9.27
,,,,,,,,,,,RP,Mason Black (43854760),Mason Black,43854760,P,5800,ATH@KC 08/17/2026 07:40PM ET,KC,3.47
,,,,,,,,,,,RP,Daniel Lynch IV (43854761),Daniel Lynch IV,43854761,P,5800,ATH@KC 08/17/2026 07:40PM ET,KC,3.02
,,,,,,,,,,,RP,Grant Taylor (43854756),Grant Taylor,43854756,P,5800,CWS@CHC 08/17/2026 08:05PM ET,CWS,5.49
,,,,,,,,,,,RP,Trevor Richards (43854757),Trevor Richards,43854757,P,5800,CWS@CHC 08/17/2026 08:05PM ET,CWS,4.12
,,,,,,,,,,,RP,Jose Urquidy (43854762),Jose Urquidy,43854762,P,5800,CWS@CHC 08/17/2026 08:05PM ET,CWS,2.22
,,,,,,,,,,,RP,Robert Stock (43854765),Robert Stock,43854765,P,5800,SD@NYM 08/17/2026 07:10PM ET,NYM,6.92
,,,,,,,,,,,RP,Justin Hagenman (43854766),Justin Hagenman,43854766,P,5800,SD@NYM 08/17/2026 07:10PM ET,NYM,0
,,,,,,,,,,,SP,Tobias Myers (43854767),Tobias Myers,43854767,P,5800,SD@NYM 08/17/2026 07:10PM ET,NYM,2.58
,,,,,,,,,,,RP,Xzavion Curry (43854768),Xzavion Curry,43854768,P,5800,SD@NYM 08/17/2026 07:10PM ET,NYM,4.77
,,,,,,,,,,,RP,Chayce McDermott (43854769),Chayce McDermott,43854769,P,5800,SD@NYM 08/17/2026 07:10PM ET,NYM,3.14
,,,,,,,,,,,SP,Kodai Senga (43854770),Kodai Senga,43854770,P,5800,SD@NYM 08/17/2026 07:10PM ET,NYM,5.26
,,,,,,,,,,,SP,Jonah Tong (43854771),Jonah Tong,43854771,P,5800,SD@NYM 08/17/2026 07:10PM ET,NYM,7.83
,,,,,,,,,,,SP,Dylan Ray (43854775),Dylan Ray,43854775,P,5700,ARI@BOS 08/17/2026 07:10PM ET,ARI,0
,,,,,,,,,,,RP,Gerardo Carrillo (43854776),Gerardo Carrillo,43854776,P,5700,ARI@BOS 08/17/2026 07:10PM ET,ARI,7.22
,,,,,,,,,,,SP,Cristian Mena (43854777),Cristian Mena,43854777,P,5700,ARI@BOS 08/17/2026 07:10PM ET,ARI,0
,,,,,,,,,,,SP,Zac Gallen (43854778),Zac Gallen,43854778,P,5700,ARI@BOS 08/17/2026 07:10PM ET,ARI,6.44
,,,,,,,,,,,SP,Jose Cabrera (43854779),Jose Cabrera,43854779,P,5700,ARI@BOS 08/17/2026 07:10PM ET,ARI,6.09
,,,,,,,,,,,RP,Zack Littell (43854780),Zack Littell,43854780,P,5700,ARI@BOS 08/17/2026 07:10PM ET,ARI,9.21
,,,,,,,,,,,3B,Max Muncy (43854290),Max Muncy,43854290,3B,5700,LAD@COL 08/17/2026 08:40PM ET,LAD,7.44
,,,,,,,,,,,OF,Juan Soto (43854503),Juan Soto,43854503,OF,5700,SD@NYM 08/17/2026 07:10PM ET,NYM,9.27
,,,,,,,,,,,OF,Andy Pages (43854291),Andy Pages,43854291,OF,5600,LAD@COL 08/17/2026 08:40PM ET,LAD,8.44
,,,,,,,,,,,SP,Tomoyuki Sugano (43854282),Tomoyuki Sugano,43854282,P,5500,LAD@COL 08/17/2026 08:40PM ET,COL,11.08
,,,,,,,,,,,RP,Zach Agnos (43854784),Zach Agnos,43854784,P,5500,LAD@COL 08/17/2026 08:40PM ET,COL,3.10
,,,,,,,,,,,SP,Chase Dollander (43854785),Chase Dollander,43854785,P,5500,LAD@COL 08/17/2026 08:40PM ET,COL,13.1
,,,,,,,,,,,SP,Ryan Feltner (43854786),Ryan Feltner,43854786,P,5500,LAD@COL 08/17/2026 08:40PM ET,COL,8.43
,,,,,,,,,,,SP,Kyle Freeland (43854787),Kyle Freeland,43854787,P,5500,LAD@COL 08/17/2026 08:40PM ET,COL,9.13
